"Sample"	"Sample_project"	"Traitement"	"Temps"	"Prelevement"	"SampleID"
"A1-T0-C_S3_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T0"	"Caeca"	"A1-T0-C_S3_L001"
"A1-T0-J_S1_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T0"	"Jabot"	"A1-T0-J_S1_L001"
"A1-T17-C_S87_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Caeca"	"A1-T17-C_S87_L001"
"A1-T17-I_S86_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Ileon"	"A1-T17-I_S86_L001"
"A1-T17-J_S85_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Jabot"	"A1-T17-J_S85_L001"
"A1-T9-C_S24_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Caeca"	"A1-T9-C_S24_L001"
"A1-T9-I_S23_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Ileon"	"A1-T9-I_S23_L001"
"A1-T9-J_S22_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Jabot"	"A1-T9-J_S22_L001"
"A2-T0-C_S6_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T0"	"Caeca"	"A2-T0-C_S6_L001"
"A2-T0-I_S5_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T0"	"Ileon"	"A2-T0-I_S5_L001"
"A2-T0-J_S4_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T0"	"Jabot"	"A2-T0-J_S4_L001"
"A2-T17-C_S90_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Caeca"	"A2-T17-C_S90_L001"
"A2-T17-I_S89_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Ileon"	"A2-T17-I_S89_L001"
"A2-T17-J_S88_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Jabot"	"A2-T17-J_S88_L001"
"A2-T9-C_S27_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Caeca"	"A2-T9-C_S27_L001"
"A2-T9-I_S26_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Ileon"	"A2-T9-I_S26_L001"
"A2-T9-J_S25_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Jabot"	"A2-T9-J_S25_L001"
"A3-T17-C_S93_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Caeca"	"A3-T17-C_S93_L001"
"A3-T17-I_S92_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Ileon"	"A3-T17-I_S92_L001"
"A3-T17-J_S91_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Jabot"	"A3-T17-J_S91_L001"
"A3-T9-C_S30_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Caeca"	"A3-T9-C_S30_L001"
"A3-T9-I_S29_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Ileon"	"A3-T9-I_S29_L001"
"A3-T9-J_S28_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Jabot"	"A3-T9-J_S28_L001"
"A4-T17-C_S96_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Caeca"	"A4-T17-C_S96_L001"
"A4-T17-I_S95_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Ileon"	"A4-T17-I_S95_L001"
"A4-T17-J_S94_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Jabot"	"A4-T17-J_S94_L001"
"A4-T9-C_S33_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Caeca"	"A4-T9-C_S33_L001"
"A4-T9-I_S32_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Ileon"	"A4-T9-I_S32_L001"
"A4-T9-J_S31_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Jabot"	"A4-T9-J_S31_L001"
"A5-T17-C_S99_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Caeca"	"A5-T17-C_S99_L001"
"A5-T17-I_S98_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Ileon"	"A5-T17-I_S98_L001"
"A5-T17-J_S97_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Jabot"	"A5-T17-J_S97_L001"
"A5-T9-C_S36_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Caeca"	"A5-T9-C_S36_L001"
"A5-T9-I_S35_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Ileon"	"A5-T9-I_S35_L001"
"A5-T9-J_S34_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Jabot"	"A5-T9-J_S34_L001"
"A6-T17-C_S102_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Caeca"	"A6-T17-C_S102_L001"
"A6-T17-I_S101_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Ileon"	"A6-T17-I_S101_L001"
"A6-T17-J_S100_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Jabot"	"A6-T17-J_S100_L001"
"A6-T9-C_S39_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Caeca"	"A6-T9-C_S39_L001"
"A6-T9-I_S38_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Ileon"	"A6-T9-I_S38_L001"
"A6-T9-J_S37_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Jabot"	"A6-T9-J_S37_L001"
"A7-T17-C_S105_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Caeca"	"A7-T17-C_S105_L001"
"A7-T17-I_S104_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Ileon"	"A7-T17-I_S104_L001"
"A7-T17-J_S103_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T17"	"Jabot"	"A7-T17-J_S103_L001"
"A7-T9-C_S42_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Caeca"	"A7-T9-C_S42_L001"
"A7-T9-I_S41_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Ileon"	"A7-T9-I_S41_L001"
"A7-T9-J_S40_L001"	"ORIGINALPROCESS"	"temoin_negatif"	"T9"	"Jabot"	"A7-T9-J_S40_L001"
"B1-T0-C_S9_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T0"	"Caeca"	"B1-T0-C_S9_L001"
"B1-T0-I_S8_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T0"	"Ileon"	"B1-T0-I_S8_L001"
"B1-T0-J_S7_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T0"	"Jabot"	"B1-T0-J_S7_L001"
"B1-T17-C_S108_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Caeca"	"B1-T17-C_S108_L001"
"B1-T17-I_S107_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Ileon"	"B1-T17-I_S107_L001"
"B1-T17-J_S106_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Jabot"	"B1-T17-J_S106_L001"
"B1-T9-C_S45_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Caeca"	"B1-T9-C_S45_L001"
"B1-T9-I_S44_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Ileon"	"B1-T9-I_S44_L001"
"B1-T9-J_S43_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Jabot"	"B1-T9-J_S43_L001"
"B2-T0-C_S12_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T0"	"Caeca"	"B2-T0-C_S12_L001"
"B2-T0-I_S11_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T0"	"Ileon"	"B2-T0-I_S11_L001"
"B2-T0-J_S10_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T0"	"Jabot"	"B2-T0-J_S10_L001"
"B2-T17-C_S111_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Caeca"	"B2-T17-C_S111_L001"
"B2-T17-I_S110_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Ileon"	"B2-T17-I_S110_L001"
"B2-T17-J_S109_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Jabot"	"B2-T17-J_S109_L001"
"B2-T9-C_S48_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Caeca"	"B2-T9-C_S48_L001"
"B2-T9-I_S47_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Ileon"	"B2-T9-I_S47_L001"
"B2-T9-J_S46_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Jabot"	"B2-T9-J_S46_L001"
"B3-T0-C_S15_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T0"	"Caeca"	"B3-T0-C_S15_L001"
"B3-T0-I_S14_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T0"	"Ileon"	"B3-T0-I_S14_L001"
"B3-T0-J_S13_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T0"	"Jabot"	"B3-T0-J_S13_L001"
"B3-T17-C_S114_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Caeca"	"B3-T17-C_S114_L001"
"B3-T17-I_S113_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Ileon"	"B3-T17-I_S113_L001"
"B3-T17-J_S112_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Jabot"	"B3-T17-J_S112_L001"
"B3-T9-C_S51_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Caeca"	"B3-T9-C_S51_L001"
"B3-T9-I_S50_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Ileon"	"B3-T9-I_S50_L001"
"B3-T9-J_S49_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Jabot"	"B3-T9-J_S49_L001"
"B4-T17-C_S117_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Caeca"	"B4-T17-C_S117_L001"
"B4-T17-I_S116_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Ileon"	"B4-T17-I_S116_L001"
"B4-T17-J_S115_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Jabot"	"B4-T17-J_S115_L001"
"B4-T9-C_S54_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Caeca"	"B4-T9-C_S54_L001"
"B4-T9-I_S53_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Ileon"	"B4-T9-I_S53_L001"
"B4-T9-J_S52_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Jabot"	"B4-T9-J_S52_L001"
"B5-T17-C_S120_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Caeca"	"B5-T17-C_S120_L001"
"B5-T17-I_S119_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Ileon"	"B5-T17-I_S119_L001"
"B5-T17-J_S118_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Jabot"	"B5-T17-J_S118_L001"
"B5-T9-C_S57_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Caeca"	"B5-T9-C_S57_L001"
"B5-T9-I_S56_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Ileon"	"B5-T9-I_S56_L001"
"B5-T9-J_S55_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Jabot"	"B5-T9-J_S55_L001"
"B6-T17-C_S123_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Caeca"	"B6-T17-C_S123_L001"
"B6-T17-I_S122_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Ileon"	"B6-T17-I_S122_L001"
"B6-T17-J_S121_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Jabot"	"B6-T17-J_S121_L001"
"B6-T9-C_S60_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Caeca"	"B6-T9-C_S60_L001"
"B6-T9-I_S59_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Ileon"	"B6-T9-I_S59_L001"
"B6-T9-J_S58_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Jabot"	"B6-T9-J_S58_L001"
"B7-T17-C_S126_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Caeca"	"B7-T17-C_S126_L001"
"B7-T17-I_S125_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Ileon"	"B7-T17-I_S125_L001"
"B7-T17-J_S124_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T17"	"Jabot"	"B7-T17-J_S124_L001"
"B7-T9-C_S63_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Caeca"	"B7-T9-C_S63_L001"
"B7-T9-I_S62_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Ileon"	"B7-T9-I_S62_L001"
"B7-T9-J_S61_L001"	"ORIGINALPROCESS"	"BIO_ACID_B"	"T9"	"Jabot"	"B7-T9-J_S61_L001"
"C1-T0-C_S18_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T0"	"Caeca"	"C1-T0-C_S18_L001"
"C1-T0-I_S17_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T0"	"Ileon"	"C1-T0-I_S17_L001"
"C1-T0-J_S16_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T0"	"Jabot"	"C1-T0-J_S16_L001"
"C1-T17-C_S129_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Caeca"	"C1-T17-C_S129_L001"
"C1-T17-I_S128_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Ileon"	"C1-T17-I_S128_L001"
"C1-T17-J_S127_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Jabot"	"C1-T17-J_S127_L001"
"C1-T9-C_S66_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Caeca"	"C1-T9-C_S66_L001"
"C1-T9-I_S65_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Ileon"	"C1-T9-I_S65_L001"
"C1-T9-J_S64_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Jabot"	"C1-T9-J_S64_L001"
"C2-T0-C_S21_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T0"	"Caeca"	"C2-T0-C_S21_L001"
"C2-T0-J_S19_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T0"	"Jabot"	"C2-T0-J_S19_L001"
"C2-T17-C_S132_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Caeca"	"C2-T17-C_S132_L001"
"C2-T17-I_S131_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Ileon"	"C2-T17-I_S131_L001"
"C2-T17-J_S130_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Jabot"	"C2-T17-J_S130_L001"
"C2-T9-C_S69_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Caeca"	"C2-T9-C_S69_L001"
"C2-T9-I_S68_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Ileon"	"C2-T9-I_S68_L001"
"C2-T9-J_S67_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Jabot"	"C2-T9-J_S67_L001"
"C3-T17-C_S135_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Caeca"	"C3-T17-C_S135_L001"
"C3-T17-I_S134_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Ileon"	"C3-T17-I_S134_L001"
"C3-T17-J_S133_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Jabot"	"C3-T17-J_S133_L001"
"C3-T9-C_S72_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Caeca"	"C3-T9-C_S72_L001"
"C3-T9-I_S71_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Ileon"	"C3-T9-I_S71_L001"
"C3-T9-J_S70_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Jabot"	"C3-T9-J_S70_L001"
"C4-T17-C_S138_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Caeca"	"C4-T17-C_S138_L001"
"C4-T17-I_S137_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Ileon"	"C4-T17-I_S137_L001"
"C4-T17-J_S136_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Jabot"	"C4-T17-J_S136_L001"
"C4-T9-C_S75_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Caeca"	"C4-T9-C_S75_L001"
"C4-T9-I_S74_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Ileon"	"C4-T9-I_S74_L001"
"C4-T9-J_S73_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Jabot"	"C4-T9-J_S73_L001"
"C5-T17-C_S141_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Caeca"	"C5-T17-C_S141_L001"
"C5-T17-I_S140_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Ileon"	"C5-T17-I_S140_L001"
"C5-T17-J_S139_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Jabot"	"C5-T17-J_S139_L001"
"C5-T9-C_S78_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Caeca"	"C5-T9-C_S78_L001"
"C5-T9-I_S77_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Ileon"	"C5-T9-I_S77_L001"
"C5-T9-J_S76_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Jabot"	"C5-T9-J_S76_L001"
"C6-T17-C_S144_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Caeca"	"C6-T17-C_S144_L001"
"C6-T17-I_S143_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Ileon"	"C6-T17-I_S143_L001"
"C6-T17-J_S142_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Jabot"	"C6-T17-J_S142_L001"
"C6-T9-C_S81_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Caeca"	"C6-T9-C_S81_L001"
"C6-T9-I_S80_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Ileon"	"C6-T9-I_S80_L001"
"C6-T9-J_S79_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Jabot"	"C6-T9-J_S79_L001"
"C7-T17-C_S147_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Caeca"	"C7-T17-C_S147_L001"
"C7-T17-I_S146_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Ileon"	"C7-T17-I_S146_L001"
"C7-T17-J_S145_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T17"	"Jabot"	"C7-T17-J_S145_L001"
"C7-T9-C_S84_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Caeca"	"C7-T9-C_S84_L001"
"C7-T9-I_S83_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Ileon"	"C7-T9-I_S83_L001"
"C7-T9-J_S82_L001"	"ORIGINALPROCESS"	"amoxicilline"	"T9"	"Jabot"	"C7-T9-J_S82_L001"