"A1-T0-C_S3_L001"	"A1-T0-J_S1_L001"	"A1-T17-C_S87_L001"	"A1-T17-I_S86_L001"	"A1-T17-J_S85_L001"	"A1-T9-C_S24_L001"	"A1-T9-I_S23_L001"	"A1-T9-J_S22_L001"	"A2-T0-C_S6_L001"	"A2-T0-I_S5_L001"	"A2-T0-J_S4_L001"	"A2-T17-C_S90_L001"	"A2-T17-I_S89_L001"	"A2-T17-J_S88_L001"	"A2-T9-C_S27_L001"	"A2-T9-I_S26_L001"	"A2-T9-J_S25_L001"	"A3-T17-C_S93_L001"	"A3-T17-I_S92_L001"	"A3-T17-J_S91_L001"	"A3-T9-C_S30_L001"	"A3-T9-I_S29_L001"	"A3-T9-J_S28_L001"	"A4-T17-C_S96_L001"	"A4-T17-I_S95_L001"	"A4-T17-J_S94_L001"	"A4-T9-C_S33_L001"	"A4-T9-I_S32_L001"	"A4-T9-J_S31_L001"	"A5-T17-C_S99_L001"	"A5-T17-I_S98_L001"	"A5-T17-J_S97_L001"	"A5-T9-C_S36_L001"	"A5-T9-I_S35_L001"	"A5-T9-J_S34_L001"	"A6-T17-C_S102_L001"	"A6-T17-I_S101_L001"	"A6-T17-J_S100_L001"	"A6-T9-C_S39_L001"	"A6-T9-I_S38_L001"	"A6-T9-J_S37_L001"	"A7-T17-C_S105_L001"	"A7-T17-I_S104_L001"	"A7-T17-J_S103_L001"	"A7-T9-C_S42_L001"	"A7-T9-I_S41_L001"	"A7-T9-J_S40_L001"	"B1-T0-C_S9_L001"	"B1-T0-I_S8_L001"	"B1-T0-J_S7_L001"	"B1-T17-C_S108_L001"	"B1-T17-I_S107_L001"	"B1-T17-J_S106_L001"	"B1-T9-C_S45_L001"	"B1-T9-I_S44_L001"	"B1-T9-J_S43_L001"	"B2-T0-C_S12_L001"	"B2-T0-I_S11_L001"	"B2-T0-J_S10_L001"	"B2-T17-C_S111_L001"	"B2-T17-I_S110_L001"	"B2-T17-J_S109_L001"	"B2-T9-C_S48_L001"	"B2-T9-I_S47_L001"	"B2-T9-J_S46_L001"	"B3-T0-C_S15_L001"	"B3-T0-I_S14_L001"	"B3-T0-J_S13_L001"	"B3-T17-C_S114_L001"	"B3-T17-I_S113_L001"	"B3-T17-J_S112_L001"	"B3-T9-C_S51_L001"	"B3-T9-I_S50_L001"	"B3-T9-J_S49_L001"	"B4-T17-C_S117_L001"	"B4-T17-I_S116_L001"	"B4-T17-J_S115_L001"	"B4-T9-C_S54_L001"	"B4-T9-I_S53_L001"	"B4-T9-J_S52_L001"	"B5-T17-C_S120_L001"	"B5-T17-I_S119_L001"	"B5-T17-J_S118_L001"	"B5-T9-C_S57_L001"	"B5-T9-I_S56_L001"	"B5-T9-J_S55_L001"	"B6-T17-C_S123_L001"	"B6-T17-I_S122_L001"	"B6-T17-J_S121_L001"	"B6-T9-C_S60_L001"	"B6-T9-I_S59_L001"	"B6-T9-J_S58_L001"	"B7-T17-C_S126_L001"	"B7-T17-I_S125_L001"	"B7-T17-J_S124_L001"	"B7-T9-C_S63_L001"	"B7-T9-I_S62_L001"	"B7-T9-J_S61_L001"	"C1-T0-C_S18_L001"	"C1-T0-I_S17_L001"	"C1-T0-J_S16_L001"	"C1-T17-C_S129_L001"	"C1-T17-I_S128_L001"	"C1-T17-J_S127_L001"	"C1-T9-C_S66_L001"	"C1-T9-I_S65_L001"	"C1-T9-J_S64_L001"	"C2-T0-C_S21_L001"	"C2-T0-J_S19_L001"	"C2-T17-C_S132_L001"	"C2-T17-I_S131_L001"	"C2-T17-J_S130_L001"	"C2-T9-C_S69_L001"	"C2-T9-I_S68_L001"	"C2-T9-J_S67_L001"	"C3-T17-C_S135_L001"	"C3-T17-I_S134_L001"	"C3-T17-J_S133_L001"	"C3-T9-C_S72_L001"	"C3-T9-I_S71_L001"	"C3-T9-J_S70_L001"	"C4-T17-C_S138_L001"	"C4-T17-I_S137_L001"	"C4-T17-J_S136_L001"	"C4-T9-C_S75_L001"	"C4-T9-I_S74_L001"	"C4-T9-J_S73_L001"	"C5-T17-C_S141_L001"	"C5-T17-I_S140_L001"	"C5-T17-J_S139_L001"	"C5-T9-C_S78_L001"	"C5-T9-I_S77_L001"	"C5-T9-J_S76_L001"	"C6-T17-C_S144_L001"	"C6-T17-I_S143_L001"	"C6-T17-J_S142_L001"	"C6-T9-C_S81_L001"	"C6-T9-I_S80_L001"	"C6-T9-J_S79_L001"	"C7-T17-C_S147_L001"	"C7-T17-I_S146_L001"	"C7-T17-J_S145_L001"	"C7-T9-C_S84_L001"	"C7-T9-I_S83_L001"	"C7-T9-J_S82_L001"
"Cluster_135"	27	0	27	0	0	3	0	0	11	0	0	20	0	0	9	0	0	5	0	0	20	0	0	34	0	0	44	0	0	40	0	0	55	0	0	18	0	0	23	0	0	38	0	0	48	0	0	19	0	0	18	0	0	105	0	0	42	0	6	24	0	0	31	0	0	39	0	0	74	0	0	60	0	0	67	0	0	59	0	0	73	0	0	0	0	0	188	0	0	56	0	0	1	0	0	21	0	0	14	0	0	0	0	0	15	0	0	18	0	0	0	0	0	0	0	10	0	0	14	0	0	4	0	0	0	0	0	7	0	0	6	0	0	13	0	0	3	0	0	0	0	0	0	0	0
"Cluster_167"	4	0	0	0	0	1	0	0	79	0	0	13	0	0	16	0	0	1	0	0	5	0	0	31	0	0	36	0	0	32	1	0	58	0	0	63	0	0	35	0	0	29	0	0	110	0	0	10	3	0	30	0	0	38	0	0	19	0	5	12	0	0	23	0	0	3	11	0	37	0	0	50	0	0	10	0	0	41	0	0	0	0	0	0	0	0	63	0	0	14	0	0	7	0	0	21	0	0	39	0	0	0	0	0	36	0	0	3	0	54	0	0	85	0	0	19	0	1	20	0	0	0	1	0	1	0	0	48	0	0	17	0	0	8	0	0	14	0	0	0	0	0	76	0	0
"Cluster_104"	1	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	47	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	16	0	0	3	0	0	0	0	0	6	0	1	1	0	0	0	0	0	2	0	0	0	0	0	7	0	0	24	0	0	14	0	0	5	0	0	40	0	0	19	0	0	1	0	0	0	0	0	0	0	0	0	0	1	8	0	0	195	0	0	9	0	134	0	0	122	0	0	19	0	0	268	0	0	3	0	0	19	0	0	44	0	0	62	0	0	14	0	0	80	0	1	3	0	0	86	0	0
"Cluster_63"	20	0	5	1	0	128	0	0	14	0	0	160	0	0	181	0	0	82	0	0	34	0	0	106	0	0	65	0	0	106	0	0	51	0	0	54	0	0	189	0	0	36	0	0	132	0	0	8	0	0	48	0	0	104	0	0	13	0	4	21	0	0	52	0	0	26	0	0	63	0	0	127	0	0	98	0	0	76	0	0	87	0	0	294	0	0	155	0	0	26	0	0	35	0	0	29	0	0	12	0	0	1	0	0	65	0	0	6	0	0	0	0	4	0	0	11	0	0	7	0	0	0	0	0	0	0	0	27	0	0	12	0	0	13	0	0	19	0	0	0	0	0	8	0	0
"Cluster_98"	62	0	10	0	0	185	0	0	38	0	0	6	0	0	151	0	0	1	0	0	4	2	0	55	0	0	25	0	0	6	0	0	103	0	0	1	0	0	186	0	0	6	0	0	72	0	0	3	0	0	38	0	0	97	0	0	23	0	2	15	0	0	113	0	0	38	0	0	12	0	0	18	0	0	18	0	0	145	0	0	12	0	0	254	0	0	18	0	0	27	0	0	6	0	0	19	0	0	20	0	0	0	0	0	0	0	0	30	0	0	0	0	2	0	0	3	0	0	22	0	0	0	0	0	0	0	0	3	0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0
"Cluster_133"	68	0	28	0	0	10	0	0	99	0	0	26	0	0	23	0	0	23	0	0	85	0	0	21	0	0	30	0	0	13	0	0	102	0	0	31	0	0	93	0	0	83	0	0	16	0	0	124	0	0	42	0	0	144	0	0	130	0	2	38	0	0	144	0	0	179	7	0	75	0	0	67	0	0	37	0	0	33	0	0	31	0	0	40	0	0	101	0	1	94	0	0	22	0	0	67	0	0	96	0	0	0	0	0	2	0	0	90	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	1	0	0	27	0	0	9	0	0	0	0	0	26	0	0	1	0	0
"Cluster_20"	61	0	73	0	0	3	0	1	177	1	0	38	0	0	7	0	0	246	0	0	11	0	0	185	0	0	17	0	0	414	1	0	74	0	0	500	0	0	105	0	0	80	0	0	199	0	1	152	0	1	119	1	0	250	0	5	100	0	4	42	0	0	179	0	1	138	9	2	249	0	0	174	0	0	385	0	0	137	0	0	528	0	0	5	1	0	501	0	0	215	0	0	29	0	0	332	0	0	98	0	2	0	0	0	1028	0	0	139	1	0	0	0	111	0	0	327	0	0	5	0	0	224	0	0	14	0	0	751	0	0	684	0	0	174	0	1	168	0	0	44	0	0	588	0	0
"Cluster_26"	35	1	100	0	0	0	0	0	183	0	0	187	0	1	170	0	0	113	0	0	192	2	0	127	0	0	105	0	0	227	0	0	351	0	0	238	0	0	279	0	0	229	0	0	278	1	0	277	0	0	329	0	0	204	0	2	124	0	5	137	0	0	292	1	0	84	9	0	422	0	0	310	0	0	304	0	1	165	0	0	221	0	0	73	0	0	1124	0	1	170	0	0	250	0	0	372	0	0	96	1	4	0	0	0	515	0	0	126	0	0	0	0	12	0	0	279	0	0	14	0	0	30	1	0	176	0	0	246	1	0	175	0	0	423	1	0	136	0	0	0	0	0	1	0	1
"Cluster_17"	0	0	0	100	256	0	8	153	0	0	0	0	4	158	0	4	77	0	11	144	0	3	344	0	3	244	0	18	471	0	7	111	0	35	499	0	0	90	0	7	517	0	0	129	0	0	279	0	0	0	0	1	351	0	0	114	0	0	1	0	13	137	0	5	162	0	2	0	3	71	189	0	21	150	0	2	252	0	7	123	0	16	195	0	0	168	0	0	930	0	8	121	0	0	235	0	21	135	0	0	1	0	31	201	0	51	216	0	0	0	6	411	0	7	276	0	4	110	1	116	438	0	69	105	0	38	446	0	13	96	1	12	460	0	2	152	0	7	171	0	0	146	0	12	205
"Cluster_113"	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	89	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	121	60	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	4	0	0	0	0	0	0	0	0	104	0	0	4	0	0	53	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	70	0	0	0	0	585	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Cluster_36"	290	9	234	0	0	521	1	0	191	1	0	189	0	0	174	0	0	139	1	1	145	1	0	208	0	0	144	0	0	242	0	1	84	0	1	149	0	0	142	0	0	307	0	0	99	1	0	136	2	0	81	0	0	135	0	0	145	2	5	162	0	0	112	0	0	196	39	0	184	0	0	199	0	0	137	0	0	209	0	0	122	0	0	446	0	0	134	0	0	157	0	1	171	0	0	124	0	0	193	9	1	1	0	0	35	0	0	203	1	36	0	0	27	0	0	60	0	0	38	0	0	3	0	0	2	0	0	82	0	0	53	0	0	53	0	0	43	0	0	93	0	0	18	0	0
"Cluster_176"	54	6	13	0	0	66	0	0	22	0	0	21	0	0	41	0	0	400	0	0	13	0	0	29	0	0	63	0	0	44	0	0	9	0	0	43	0	0	18	0	0	23	0	0	22	0	0	22	0	0	11	0	0	19	0	0	44	0	1	9	0	0	34	0	0	24	5	0	32	0	0	42	0	0	36	0	0	41	0	0	22	0	0	78	0	0	19	0	0	17	0	0	5	0	0	13	0	0	28	0	0	0	0	0	0	0	0	32	7	0	0	0	0	0	0	0	0	0	73	0	0	3	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	9	0	0	0	0	0
"Cluster_100"	62	0	89	0	0	30	0	0	49	0	0	62	0	1	15	0	0	5	0	0	65	0	0	124	0	0	4	0	0	71	0	0	19	0	0	19	0	0	36	0	0	39	0	0	66	0	0	1	0	1	3	0	0	36	0	0	32	0	0	31	0	0	97	0	0	26	6	1	106	0	0	22	0	0	2	0	0	60	0	0	15	0	0	39	0	0	48	0	0	15	0	0	17	0	0	47	0	0	27	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Cluster_101"	14	1	16	0	0	15	0	0	4	0	0	24	0	0	15	0	0	89	0	0	8	0	0	65	0	0	19	0	0	73	0	0	6	0	0	28	0	0	1	0	0	1	0	0	2	0	0	137	0	0	5	0	0	43	0	0	12	0	2	3	0	0	3	0	0	4	14	5	29	0	0	76	0	0	25	0	0	7	0	0	43	0	0	107	0	0	55	0	0	5	0	0	6	0	0	19	0	0	49	2	0	0	0	0	381	0	0	51	5	118	0	0	11	0	0	187	0	1	6	0	0	169	0	0	2	0	0	299	0	0	5	0	0	20	0	0	2	0	0	3	0	0	6	0	0
"Cluster_88"	35	1	76	0	0	171	0	0	11	0	0	1	0	0	27	0	0	2	0	0	45	0	0	27	0	0	14	0	0	10	0	0	6	0	0	12	0	0	31	0	0	57	0	0	15	0	0	4	0	0	4	0	0	11	0	0	13	0	0	7	0	0	45	0	0	8	0	0	13	0	0	19	0	0	6	0	0	33	0	0	2	0	0	52	0	0	8	0	0	13	0	0	14	0	0	4	0	0	8	0	0	0	0	0	18	0	0	6	0	1	0	0	27	0	0	165	0	0	286	0	0	3	0	0	42	0	0	100	0	0	20	0	0	47	1	0	17	0	0	17	0	0	4	0	0
"Cluster_110"	19	0	21	0	0	8	0	0	82	2	0	25	0	0	22	0	0	38	0	0	53	0	0	14	0	0	63	0	0	41	0	0	59	0	0	60	0	0	29	0	0	39	0	0	6	0	0	134	1	0	28	0	0	28	0	1	51	0	1	16	0	0	11	0	0	53	10	0	19	0	0	15	0	0	43	0	0	9	0	0	11	0	0	13	0	0	63	0	0	18	0	0	20	0	0	28	0	0	58	15	0	0	0	0	0	0	0	99	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Cluster_141"	90	1	76	0	0	67	0	0	59	0	0	19	0	0	33	0	0	5	0	0	65	0	0	35	0	0	52	0	0	24	0	0	76	0	0	22	0	0	20	0	0	41	0	0	10	0	0	117	0	0	25	0	0	42	0	0	87	0	0	21	0	0	21	0	0	139	23	1	22	0	0	30	0	0	53	0	0	44	0	0	1	0	0	147	0	0	9	0	0	64	0	0	21	0	0	50	0	0	191	3	0	0	0	0	1	0	0	110	2	0	0	0	15	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	6	0	0	1	0	0	10	0	0	3	0	0
"Cluster_35"	174	0	274	0	0	94	1	0	78	0	0	144	0	0	39	0	0	5	0	0	189	1	0	174	0	0	62	0	0	79	0	2	87	0	0	44	0	0	228	0	0	140	0	0	91	0	0	5	1	0	58	0	0	106	0	1	22	0	3	190	0	0	76	0	0	51	22	0	143	0	0	122	0	0	20	0	0	130	0	0	41	0	0	234	0	0	49	0	0	24	0	0	196	0	0	92	1	0	122	1	1	0	0	0	3	0	0	55	1	0	0	0	28	0	0	18	0	0	10	0	0	0	0	0	1	0	0	21	0	0	27	0	1	14	0	0	8	0	0	17	0	0	15	0	0
"Cluster_80"	11	0	34	0	0	12	0	0	26	0	0	15	0	0	20	0	0	6	0	0	41	0	0	20	0	0	5	0	0	17	0	0	5	0	0	7	0	0	6	0	0	9	0	0	2	0	0	0	0	0	17	0	0	20	0	0	5	0	1	11	0	0	7	0	0	11	10	0	31	0	0	11	0	0	15	0	0	1	0	0	10	0	0	28	0	0	11	0	0	7	0	0	8	0	0	11	0	0	25	0	0	0	0	0	16	0	0	14	0	0	0	0	125	0	0	63	0	0	95	0	0	0	0	0	5	0	0	177	0	0	123	0	0	35	0	0	30	0	0	154	0	0	76	0	0
"Cluster_87"	371	4	0	0	0	8	0	0	113	3	0	136	0	0	28	0	0	79	0	0	21	0	0	13	0	0	18	0	0	61	0	0	4	0	0	23	0	0	71	0	0	1	0	0	69	0	0	7	1	0	1	0	0	94	0	0	62	0	0	3	0	0	35	0	0	93	2	1	70	0	0	106	0	0	32	0	0	7	0	0	32	0	0	57	0	0	122	0	0	26	0	0	8	0	0	19	0	0	23	0	0	0	0	0	0	0	0	27	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster_55"	77	7	0	0	0	59	0	0	74	0	0	4	0	0	46	0	0	11	0	0	56	0	0	7	0	0	40	0	0	10	0	0	42	0	0	30	0	0	19	0	0	10	0	0	5	0	0	210	0	0	23	0	0	63	0	0	82	0	4	1	0	0	22	0	0	114	45	0	11	0	0	80	1	0	32	0	0	10	0	0	7	0	0	87	0	0	31	0	0	49	0	0	17	0	1	21	0	0	227	3	0	10	0	0	1	0	0	117	19	0	0	0	10	0	0	170	0	0	413	0	0	0	0	0	0	0	0	213	0	0	119	0	0	55	0	0	51	0	0	4	0	0	8	0	0
"Cluster_131"	94	0	88	0	0	55	0	0	42	0	0	36	0	0	39	0	0	2	0	0	94	0	0	32	0	0	14	0	0	24	0	0	58	0	0	23	0	0	68	0	0	55	0	0	39	0	0	26	0	0	25	0	0	57	0	0	34	0	5	54	0	0	32	0	0	79	14	0	102	0	0	25	0	0	13	0	0	16	0	0	31	0	0	19	0	0	16	0	0	20	0	0	35	0	0	50	0	0	64	0	0	0	0	0	0	0	1	70	1	1	0	0	31	0	0	1	0	0	2	0	0	0	0	0	0	0	0	5	0	0	5	0	0	11	0	0	10	0	0	35	0	0	0	0	0
"Cluster_51"	127	1	255	1	0	140	0	0	123	1	0	148	0	0	27	0	0	53	0	0	53	0	0	77	0	0	27	0	0	149	0	0	71	0	0	114	0	0	31	0	0	72	0	0	20	0	0	28	1	0	18	0	0	30	0	0	136	1	6	77	0	0	42	0	0	156	37	0	113	0	0	70	0	0	75	0	0	63	0	0	61	0	0	49	0	0	96	1	0	51	0	0	45	0	0	62	0	0	130	0	4	0	0	0	21	0	0	184	0	9	0	0	9	0	0	7	0	0	3	0	0	2	0	0	1	0	0	51	0	0	9	0	0	10	0	0	19	0	0	7	0	0	2	0	0
"Cluster_59"	72	13	6	0	0	54	0	0	118	0	0	38	0	0	122	0	0	32	0	0	82	2	0	3	0	0	76	0	0	29	0	0	82	0	0	52	0	0	30	0	0	143	0	0	24	0	2	141	0	0	44	0	0	90	0	1	95	0	1	39	0	0	44	0	0	116	63	0	22	0	0	84	0	0	32	0	0	25	0	0	43	1	0	83	0	0	45	0	0	66	0	0	58	0	0	17	0	0	143	2	1	1	0	0	2	0	0	139	13	177	1	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
"Cluster_57"	85	21	4	0	0	80	0	0	129	3	0	21	0	0	40	0	0	14	0	0	91	0	0	0	0	0	61	0	0	4	0	0	102	1	0	63	0	0	25	0	0	137	0	0	19	0	0	253	7	0	31	0	0	85	0	0	70	0	0	53	0	0	60	0	0	97	80	0	48	1	0	45	0	0	15	0	0	35	0	0	17	0	0	30	0	0	21	0	0	54	0	0	43	0	0	42	0	0	315	6	1	0	0	0	8	0	0	252	4	0	0	0	7	0	0	10	0	0	26	0	0	4	0	0	3	0	0	62	0	0	13	0	1	15	0	0	6	0	0	109	0	0	2	0	0
"Cluster_58"	53	0	94	0	0	114	1	0	61	0	0	75	0	0	106	0	0	55	0	0	67	1	0	200	0	0	19	0	0	152	1	0	67	0	0	110	0	0	108	0	1	57	0	1	61	0	0	7	0	1	76	0	0	63	0	0	53	0	6	52	0	0	95	0	0	115	6	0	305	0	0	81	0	0	48	0	0	109	0	0	37	0	0	175	0	0	129	0	0	93	0	0	90	0	0	52	0	0	35	0	0	0	0	0	3	0	0	32	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster_93"	26	0	16	0	0	13	0	1	47	2	0	22	0	0	16	0	0	908	0	0	11	0	0	25	0	0	20	0	0	54	0	0	6	0	0	25	0	0	14	0	0	18	0	0	7	0	0	54	0	0	7	0	0	6	0	0	36	0	0	14	0	0	2	0	0	37	5	0	17	0	0	42	1	0	5	0	0	6	0	0	125	0	0	17	0	0	7	0	0	27	0	0	42	0	0	16	0	0	51	1	0	0	0	0	0	0	0	22	0	34	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0
"Cluster_85"	162	4	12	0	0	218	0	0	28	0	0	31	0	1	19	0	0	112	0	0	13	0	0	2	0	0	158	0	0	192	0	0	71	0	0	60	0	0	28	0	0	43	0	0	23	0	0	51	0	0	9	0	0	8	0	0	73	0	2	47	0	0	7	0	0	113	7	0	19	0	0	13	0	0	102	0	0	26	0	0	15	0	1	261	0	0	13	0	0	22	0	0	15	0	0	16	0	0	55	1	0	1	0	0	0	0	0	36	0	15	0	0	11	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
"Cluster_50"	50	1	125	0	0	22	0	0	31	0	0	49	0	0	129	0	1	11	0	0	85	0	0	31	0	0	340	1	0	25	0	0	163	0	0	24	0	0	59	0	0	53	0	0	147	0	0	1	0	0	86	0	0	109	0	0	56	0	1	83	0	0	217	0	1	50	12	0	103	0	0	84	0	0	51	0	0	191	0	0	36	0	0	320	0	0	68	0	0	259	0	0	32	0	0	116	0	0	16	1	2	0	0	0	1	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster_156"	15	0	38	0	0	21	0	0	20	0	0	5	0	0	51	0	0	0	0	0	22	0	0	12	0	0	16	0	0	0	0	0	24	0	0	5	0	0	36	0	0	25	0	0	30	0	0	3	0	0	13	0	0	21	0	0	3	0	3	10	0	0	17	0	0	8	1	0	22	0	0	30	0	0	7	0	0	22	0	0	1	0	0	71	0	0	10	0	0	7	0	0	10	0	0	8	0	0	11	0	0	0	0	0	46	0	0	15	0	0	0	0	121	0	0	49	0	0	35	0	0	1	0	0	37	0	0	41	0	0	26	0	0	32	0	0	47	0	0	11	0	0	83	0	0
"Cluster_56"	161	1	90	0	0	88	0	0	87	0	0	27	0	0	50	0	0	9	0	0	88	1	1	53	0	0	74	0	0	57	0	0	42	0	0	40	0	0	104	0	0	137	0	0	14	0	0	19	0	0	70	0	0	62	0	0	84	0	0	23	0	0	92	0	0	206	8	0	85	0	0	107	0	0	102	0	0	72	0	0	36	0	0	268	0	0	116	0	0	74	0	0	5	0	0	74	0	0	70	2	0	1	0	0	23	0	0	110	0	1	0	0	4	0	0	5	0	0	2	0	0	1	0	0	0	0	0	5	0	0	13	0	0	7	0	0	3	0	0	0	0	0	0	0	0
"Cluster_130"	4	0	9	0	0	32	0	0	2	0	0	3	0	0	16	0	0	1	0	0	0	0	0	3	0	0	10	0	0	0	0	0	2	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	10	0	0	1	0	0	1	0	0	0	0	0	21	0	0	1	4	0	5	0	0	3	0	0	0	0	0	2	0	1	0	0	0	50	0	0	6	0	0	0	0	0	12	0	0	5	0	0	1	0	0	0	0	0	93	0	0	8	0	0	0	0	88	0	0	79	0	0	139	0	0	0	0	0	52	0	0	152	0	0	175	0	0	137	0	0	54	0	0	34	0	0	116	0	0
"Cluster_79"	27	0	43	0	0	38	0	0	8	0	0	6	0	0	18	0	0	156	0	0	20	0	0	4	0	0	118	0	0	17	0	0	18	0	0	24	0	0	9	0	0	20	0	0	9	0	0	80	0	0	61	0	0	17	0	0	59	0	2	37	0	0	6	0	0	24	0	0	15	0	0	49	0	0	14	0	0	18	0	0	25	0	0	78	0	0	8	0	0	16	0	0	111	0	0	27	0	0	5	0	0	2	0	0	46	0	0	15	5	100	0	0	17	0	1	561	0	0	0	0	0	37	0	0	98	0	0	160	0	0	14	0	0	76	0	0	8	0	0	134	0	0	29	1	0
"Cluster_122"	46	0	1	0	0	62	0	0	15	0	0	17	0	0	26	0	0	0	0	0	53	0	0	14	0	0	67	0	0	5	0	0	28	0	0	5	0	0	56	0	0	62	0	0	60	0	0	18	0	0	19	0	0	82	0	0	13	1	0	24	0	0	64	0	0	20	9	0	13	0	0	40	0	0	26	0	0	36	0	0	4	0	0	96	0	0	21	0	0	9	0	0	5	0	0	14	0	0	41	1	0	0	0	0	1	0	0	54	0	0	0	0	12	0	0	13	0	0	33	0	0	0	0	0	2	0	0	15	0	0	14	0	0	14	0	0	1	0	0	9	0	0	9	0	0
"Cluster_92"	17	0	0	0	0	4	0	0	12	0	0	3	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	3	0	0	5	0	0	1	0	0	6	0	0	1	0	0	1	2	0	1	0	0	1	0	0	5	0	1	5	0	0	1	0	0	8	0	0	0	0	0	3	0	0	1	0	0	4	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	1	0	0	7	0	0	0	0	0	79	0	0	15	0	5	0	0	127	0	0	35	0	0	336	0	0	4	0	0	113	0	1	51	0	0	188	0	0	18	0	0	279	0	0	26	0	0	453	0	0
"Cluster_39"	138	1	85	0	0	228	0	0	158	0	0	52	0	0	70	0	0	33	0	0	54	0	0	80	0	0	47	0	0	47	0	0	96	0	0	79	0	0	129	0	0	99	0	0	81	0	0	123	2	0	35	0	0	90	0	0	95	1	6	54	0	0	93	0	0	120	56	0	56	0	0	75	0	0	98	0	0	50	0	0	28	0	0	29	0	0	62	0	0	20	0	0	15	0	0	25	0	0	212	2	0	0	0	0	35	0	0	215	0	18	1	0	95	0	0	43	0	0	90	0	0	2	0	0	32	0	0	41	0	0	80	0	0	101	0	0	11	0	0	24	0	0	98	0	0
"Cluster_62"	46	0	70	0	0	109	0	0	94	0	0	56	0	0	43	0	0	8	0	1	45	0	0	55	0	0	40	0	0	38	0	0	59	0	0	61	0	0	57	0	0	54	0	0	27	0	0	62	3	0	26	0	0	68	0	0	62	0	0	41	0	0	36	0	1	65	16	0	23	0	0	38	0	0	81	0	0	21	0	0	12	0	0	24	0	0	43	0	0	11	0	0	10	0	0	17	0	0	97	4	0	0	0	0	31	0	0	122	0	16	0	0	75	0	0	63	0	0	88	0	0	1	0	0	24	0	0	49	0	0	59	0	0	121	0	0	14	0	0	31	0	0	85	0	0
"Cluster_114"	57	2	6	0	0	47	0	0	38	0	0	1	0	0	19	0	0	1	0	0	73	0	0	5	0	0	35	0	0	2	0	0	44	0	0	11	0	0	35	0	0	20	0	0	34	0	0	24	0	0	44	0	0	27	0	0	18	1	5	24	0	0	29	0	0	27	7	0	8	0	0	14	0	0	23	0	0	90	0	0	2	0	0	14	0	0	10	0	0	21	0	0	1	0	0	8	0	0	38	1	0	0	0	0	2	0	0	24	0	3	0	0	53	0	0	11	0	0	55	0	0	0	0	0	8	0	0	7	0	0	57	0	0	44	0	0	32	0	0	21	0	0	65	0	0
