"A1-T0-C_S3_L001"	"A1-T0-J_S1_L001"	"A1-T17-C_S87_L001"	"A1-T17-I_S86_L001"	"A1-T17-J_S85_L001"	"A1-T9-C_S24_L001"	"A1-T9-I_S23_L001"	"A1-T9-J_S22_L001"	"A2-T0-C_S6_L001"	"A2-T0-I_S5_L001"	"A2-T0-J_S4_L001"	"A2-T17-C_S90_L001"	"A2-T17-I_S89_L001"	"A2-T17-J_S88_L001"	"A2-T9-C_S27_L001"	"A2-T9-I_S26_L001"	"A2-T9-J_S25_L001"	"A3-T17-C_S93_L001"	"A3-T17-I_S92_L001"	"A3-T17-J_S91_L001"	"A3-T9-C_S30_L001"	"A3-T9-I_S29_L001"	"A3-T9-J_S28_L001"	"A4-T17-C_S96_L001"	"A4-T17-I_S95_L001"	"A4-T17-J_S94_L001"	"A4-T9-C_S33_L001"	"A4-T9-I_S32_L001"	"A4-T9-J_S31_L001"	"A5-T17-C_S99_L001"	"A5-T17-I_S98_L001"	"A5-T17-J_S97_L001"	"A5-T9-C_S36_L001"	"A5-T9-I_S35_L001"	"A5-T9-J_S34_L001"	"A6-T17-C_S102_L001"	"A6-T17-I_S101_L001"	"A6-T17-J_S100_L001"	"A6-T9-C_S39_L001"	"A6-T9-I_S38_L001"	"A6-T9-J_S37_L001"	"A7-T17-C_S105_L001"	"A7-T17-I_S104_L001"	"A7-T17-J_S103_L001"	"A7-T9-C_S42_L001"	"A7-T9-I_S41_L001"	"A7-T9-J_S40_L001"	"B1-T0-C_S9_L001"	"B1-T0-I_S8_L001"	"B1-T0-J_S7_L001"	"B1-T17-C_S108_L001"	"B1-T17-I_S107_L001"	"B1-T17-J_S106_L001"	"B1-T9-C_S45_L001"	"B1-T9-I_S44_L001"	"B1-T9-J_S43_L001"	"B2-T0-C_S12_L001"	"B2-T0-I_S11_L001"	"B2-T0-J_S10_L001"	"B2-T17-C_S111_L001"	"B2-T17-I_S110_L001"	"B2-T17-J_S109_L001"	"B2-T9-C_S48_L001"	"B2-T9-I_S47_L001"	"B2-T9-J_S46_L001"	"B3-T0-C_S15_L001"	"B3-T0-I_S14_L001"	"B3-T0-J_S13_L001"	"B3-T17-C_S114_L001"	"B3-T17-I_S113_L001"	"B3-T17-J_S112_L001"	"B3-T9-C_S51_L001"	"B3-T9-I_S50_L001"	"B3-T9-J_S49_L001"	"B4-T17-C_S117_L001"	"B4-T17-I_S116_L001"	"B4-T17-J_S115_L001"	"B4-T9-C_S54_L001"	"B4-T9-I_S53_L001"	"B4-T9-J_S52_L001"	"B5-T17-C_S120_L001"	"B5-T17-I_S119_L001"	"B5-T17-J_S118_L001"	"B5-T9-C_S57_L001"	"B5-T9-I_S56_L001"	"B5-T9-J_S55_L001"	"B6-T17-C_S123_L001"	"B6-T17-I_S122_L001"	"B6-T17-J_S121_L001"	"B6-T9-C_S60_L001"	"B6-T9-I_S59_L001"	"B6-T9-J_S58_L001"	"B7-T17-C_S126_L001"	"B7-T17-I_S125_L001"	"B7-T17-J_S124_L001"	"B7-T9-C_S63_L001"	"B7-T9-I_S62_L001"	"B7-T9-J_S61_L001"	"C1-T0-C_S18_L001"	"C1-T0-I_S17_L001"	"C1-T0-J_S16_L001"	"C1-T17-C_S129_L001"	"C1-T17-I_S128_L001"	"C1-T17-J_S127_L001"	"C1-T9-C_S66_L001"	"C1-T9-I_S65_L001"	"C1-T9-J_S64_L001"	"C2-T0-C_S21_L001"	"C2-T0-J_S19_L001"	"C2-T17-C_S132_L001"	"C2-T17-I_S131_L001"	"C2-T17-J_S130_L001"	"C2-T9-C_S69_L001"	"C2-T9-I_S68_L001"	"C2-T9-J_S67_L001"	"C3-T17-C_S135_L001"	"C3-T17-I_S134_L001"	"C3-T17-J_S133_L001"	"C3-T9-C_S72_L001"	"C3-T9-I_S71_L001"	"C3-T9-J_S70_L001"	"C4-T17-C_S138_L001"	"C4-T17-I_S137_L001"	"C4-T17-J_S136_L001"	"C4-T9-C_S75_L001"	"C4-T9-I_S74_L001"	"C4-T9-J_S73_L001"	"C5-T17-C_S141_L001"	"C5-T17-I_S140_L001"	"C5-T17-J_S139_L001"	"C5-T9-C_S78_L001"	"C5-T9-I_S77_L001"	"C5-T9-J_S76_L001"	"C6-T17-C_S144_L001"	"C6-T17-I_S143_L001"	"C6-T17-J_S142_L001"	"C6-T9-C_S81_L001"	"C6-T9-I_S80_L001"	"C6-T9-J_S79_L001"	"C7-T17-C_S147_L001"	"C7-T17-I_S146_L001"	"C7-T17-J_S145_L001"	"C7-T9-C_S84_L001"	"C7-T9-I_S83_L001"	"C7-T9-J_S82_L001"
"Cluster_107"	34	4	208	0	0	15	0	0	72	0	0	33	0	0	11	0	0	30	0	0	36	0	0	49	0	0	37	0	0	23	0	0	34	0	0	17	0	0	16	0	0	13	0	0	14	0	0	43	1	0	20	0	0	20	0	0	50	0	1	55	0	0	28	0	0	86	9	0	17	1	0	19	0	0	4	0	0	18	0	0	34	0	0	10	0	0	34	0	0	6	0	0	32	0	0	6	0	0	46	4	2	1	0	0	0	0	0	75	2	65	0	0	1	0	0	11	0	0	85	0	0	2	0	0	7	0	0	47	0	0	8	0	0	3	0	0	6	0	0	42	0	0	1	0	0
"Cluster_77"	4	1	43	0	0	23	1	0	29	0	0	38	0	0	42	0	0	8	0	0	27	1	0	57	0	0	19	0	0	53	0	0	34	0	0	19	0	0	84	0	0	32	0	0	35	0	0	6	0	0	6	0	0	19	0	0	17	0	0	25	0	0	80	0	0	20	5	0	60	0	0	13	0	0	4	0	0	48	0	0	5	0	0	65	0	0	25	0	0	41	0	0	14	0	0	30	0	0	30	0	0	0	0	0	15	0	0	14	0	2	0	0	36	1	0	44	0	0	446	0	0	0	0	0	7	0	0	90	0	0	37	0	1	54	0	0	48	0	0	5	0	0	37	0	0
"Cluster_25"	108	22	141	0	0	30	0	0	277	4	2	48	0	0	38	0	0	115	0	0	77	0	0	18	0	0	72	0	0	60	0	0	36	0	0	92	0	0	72	0	0	94	0	0	32	0	0	143	4	0	37	0	0	39	0	0	524	2	10	58	0	0	30	0	0	213	26	2	57	0	0	94	0	0	16	0	0	55	0	0	67	0	0	56	0	0	27	0	1	61	0	0	343	0	0	29	0	0	214	4	5	124	1	0	252	0	0	299	21	355	0	0	217	0	0	79	0	1	79	0	0	7	0	0	72	0	0	483	0	0	371	0	0	138	0	0	63	0	0	207	0	0	395	0	0
"Cluster_78"	13	2	27	0	0	8	0	0	26	0	0	6	0	0	28	0	0	51	0	0	20	0	0	4	0	0	24	0	0	15	1	0	12	0	0	5	0	0	14	0	0	30	0	0	0	0	0	62	0	0	11	0	1	26	0	0	40	4	0	26	0	0	24	0	0	25	9	3	18	0	0	24	0	0	13	0	0	21	0	0	43	0	0	12	0	0	12	0	0	6	0	0	57	0	0	4	0	0	65	1	0	237	0	0	8	0	0	71	11	50	0	0	70	0	0	61	0	0	26	0	0	0	0	0	16	0	0	92	0	0	75	0	0	30	0	0	43	0	0	34	0	0	149	0	0
"Cluster_105"	32	0	14	0	0	11	0	0	30	0	0	20	0	0	29	0	0	94	0	0	14	0	0	12	0	0	22	0	0	66	0	0	18	0	0	15	0	0	25	0	0	23	0	0	24	0	0	40	1	0	23	0	0	11	0	0	20	0	0	16	0	0	6	0	0	17	0	0	46	0	0	50	0	0	34	0	0	22	0	0	45	0	0	8	0	0	52	0	0	4	0	0	17	0	0	13	0	0	21	3	0	0	0	0	19	0	0	31	0	27	0	0	48	0	0	37	0	0	80	0	0	20	0	0	91	0	0	60	0	0	41	0	0	27	0	0	13	0	0	5	0	0	32	0	0
"Cluster_202"	20	0	6	0	0	8	0	0	4	0	0	31	0	0	8	0	0	26	0	0	5	0	0	15	0	0	16	0	0	16	0	0	5	0	0	211	0	0	2	0	0	10	0	0	9	0	0	29	0	0	42	0	0	10	0	0	5	0	0	13	0	0	5	0	0	10	0	0	6	0	0	13	0	0	15	0	0	2	0	0	13	0	0	6	0	0	80	0	0	3	0	0	19	0	0	13	0	0	6	0	0	20	0	0	67	0	0	3	0	2	0	0	51	0	0	49	0	0	192	0	0	10	0	0	9	0	0	5	0	0	8	0	0	42	0	0	13	0	0	1	0	1	27	0	0
"Cluster_121"	11	0	21	0	0	0	0	0	55	0	0	2	0	0	7	0	0	33	0	0	22	0	0	19	0	0	8	0	1	34	0	0	1	0	0	58	0	0	3	0	0	18	0	0	1	0	0	49	0	0	2	0	0	9	0	0	7	0	0	35	0	0	13	0	0	38	0	0	62	0	0	14	0	0	24	0	0	4	0	0	54	0	0	6	0	0	7	0	0	14	0	0	29	0	0	10	0	0	25	0	2	48	0	0	37	0	0	18	6	567	0	0	31	0	0	74	0	2	57	1	0	22	0	0	53	0	0	90	0	0	35	0	0	75	0	0	4	0	0	16	0	0	27	0	0
"Cluster_19"	97	1	117	1	0	7	0	0	237	0	5	40	0	0	53	0	0	67	0	1	160	0	0	75	0	0	58	0	0	165	0	1	11	0	1	419	0	0	36	0	0	134	1	0	28	0	1	353	6	0	27	0	0	83	0	1	95	5	12	103	0	0	46	0	0	127	49	2	245	0	0	171	0	0	93	0	0	24	0	0	331	0	0	12	0	0	204	0	2	72	0	0	52	0	0	93	0	1	240	0	1	148	0	0	247	0	0	157	16	1143	0	0	104	0	0	966	0	4	819	1	0	49	0	0	418	0	0	225	0	0	480	1	0	726	0	0	226	0	0	128	0	0	212	1	0
"Cluster_211"	20	0	1	0	0	5	0	0	16	0	1	33	0	0	84	0	0	200	0	0	73	1	0	4	0	0	27	0	0	100	0	0	26	0	0	12	0	0	17	0	0	55	0	0	10	0	0	33	0	0	57	0	0	33	0	0	10	1	0	4	0	0	9	0	0	26	0	0	50	0	0	37	0	0	45	0	0	31	0	0	69	0	0	111	1	0	11	0	0	20	0	0	8	0	0	17	0	0	15	1	0	19	0	0	72	0	0	5	0	5	0	0	8	0	0	326	0	0	26	0	0	12	0	0	10	0	0	11	0	0	2	0	0	27	0	0	2	0	0	6	0	0	2	0	0
"Cluster_164"	39	0	18	0	0	17	0	0	21	0	0	20	0	0	29	0	0	41	0	1	7	1	0	26	0	0	22	0	0	33	0	0	15	0	0	53	0	0	48	0	0	24	0	0	24	0	0	7	0	0	10	0	0	20	0	0	25	0	0	17	0	0	23	0	0	44	19	0	31	0	0	35	0	0	25	0	0	24	0	0	41	0	0	10	0	0	44	0	0	18	0	0	13	0	0	11	0	0	26	0	1	2	0	0	108	0	0	21	1	66	0	0	15	0	0	30	0	0	62	0	0	6	0	0	12	0	0	84	0	0	57	0	0	41	0	0	8	0	0	1	0	0	23	0	0
"Cluster_52"	149	0	10	0	0	53	0	0	116	0	0	139	0	0	168	0	0	23	0	0	103	2	0	8	0	0	60	0	0	113	1	0	70	0	0	19	0	0	235	1	0	104	0	0	173	0	0	58	0	0	326	0	0	131	0	1	85	0	5	94	0	0	125	0	0	140	22	0	134	0	0	181	0	0	93	0	0	166	0	0	84	0	0	244	0	0	169	0	0	72	0	0	29	0	0	61	0	0	110	0	1	1	0	0	10	0	0	147	0	21	0	0	4	0	0	23	0	1	17	1	0	1	0	0	7	0	0	71	0	0	9	0	0	33	0	0	62	0	0	22	0	0	17	0	0
"Cluster_73"	70	0	42	0	0	17	0	1	123	0	0	65	0	0	93	0	0	8	0	0	43	0	0	70	0	0	17	0	0	64	0	0	72	0	0	47	0	0	108	0	0	53	0	0	101	0	0	31	1	0	45	0	0	119	0	0	50	0	2	55	0	0	116	0	0	117	0	0	64	0	0	104	0	0	32	0	0	96	0	0	42	0	1	37	0	0	187	0	0	28	0	0	12	0	0	31	0	0	52	0	0	0	0	0	12	0	0	69	0	130	0	0	43	0	0	14	0	0	12	0	0	0	0	0	0	0	0	60	0	0	12	0	0	21	0	0	20	0	0	0	0	0	52	0	0
"Cluster_91"	25	0	6	0	0	3	1	0	5	0	0	123	0	0	17	0	0	57	0	0	2	0	0	32	0	0	9	0	0	96	0	0	23	0	0	100	0	0	47	0	0	18	0	0	6	0	0	0	0	0	20	0	0	30	0	0	4	0	4	52	0	0	26	0	0	12	0	1	57	0	0	37	0	0	34	0	0	22	0	0	102	0	0	7	0	0	267	0	0	19	0	0	8	0	0	47	0	0	3	0	1	50	0	0	50	0	0	7	0	8	0	0	0	0	0	8	0	0	0	0	0	4	0	0	2	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"Cluster_46"	84	1	2	0	0	7	0	0	153	1	0	269	0	1	64	0	0	392	0	0	210	0	0	59	0	0	35	0	0	244	0	0	119	0	0	143	0	0	246	0	0	73	0	0	218	0	0	33	0	0	30	0	0	158	0	0	52	0	4	81	0	0	212	0	0	97	32	1	171	0	0	199	0	0	84	0	0	49	0	0	314	0	0	61	1	0	178	0	0	56	0	0	55	0	0	105	0	0	62	2	2	38	0	0	5	0	0	55	0	630	1	0	8	0	0	64	0	4	0	0	0	21	0	0	129	0	0	37	0	0	2	0	0	6	0	0	29	0	0	0	0	0	0	0	0
"Cluster_292"	42	0	20	0	0	431	0	0	71	1	0	23	0	0	27	0	0	15	0	0	14	0	0	9	0	0	34	0	0	22	0	0	21	0	0	26	0	0	43	0	0	40	0	0	55	1	0	121	0	0	34	0	0	14	0	0	97	2	0	26	0	0	17	0	0	55	22	0	49	0	0	21	0	0	14	0	0	26	0	0	20	0	0	47	0	0	24	1	0	31	0	0	31	0	0	13	0	0	43	1	0	3	0	0	2	0	0	29	1	7	1	0	0	0	0	2	0	0	8	0	0	2	1	0	1	0	0	3	0	0	0	0	0	4	0	0	0	0	0	8	0	0	2	0	0
"Cluster_72"	133	1	125	0	0	194	0	0	264	1	0	1	0	0	4	0	0	4	0	0	70	1	0	75	0	0	13	0	0	9	0	0	253	0	0	74	0	0	64	0	0	358	0	0	73	0	0	402	5	0	105	0	0	81	0	1	93	4	4	109	0	0	76	0	0	233	292	0	39	1	0	48	0	0	21	0	0	317	0	0	0	0	0	5	0	0	6	0	0	13	0	0	23	0	0	36	0	0	598	6	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Cluster_86"	218	0	151	0	0	239	0	0	106	0	0	33	0	0	117	0	0	8	0	0	111	0	0	170	0	0	59	0	0	30	0	0	101	0	0	72	0	0	136	0	0	167	0	0	103	0	1	119	0	1	145	0	0	138	0	1	111	1	3	75	0	0	67	0	0	76	5	0	84	1	0	84	0	0	92	0	1	83	0	0	93	0	0	11	0	0	172	0	0	12	0	0	7	0	0	60	0	0	69	4	3	0	0	0	15	0	0	117	1	0	0	0	39	0	0	3	0	0	14	0	0	0	0	0	8	0	0	49	0	0	27	0	0	142	0	0	0	0	0	0	0	0	38	0	0
"Cluster_29"	0	1294	0	0	0	0	2	0	1	60	1045	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	140	0	1	0	0	0	0	0	80	443	0	0	0	0	0	0	0	72	780	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"Cluster_84"	1	194	0	0	0	0	0	0	0	24	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	173	1	0	0	0	0	0	0	20	93	0	0	0	0	0	0	1	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	659	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster_2"	1717	74	3323	94	57	2802	2663	282	532	484	24	4110	7031	939	2386	2730	159	731	46	40	2337	5001	936	4579	511	68	3778	3573	792	3407	554	44	4005	6852	2006	1907	2598	45	1799	6082	750	2451	5901	2079	4660	6863	2546	1373	19	46	4027	3733	118	2753	1497	408	1431	343	320	5393	3619	1133	2554	1733	2130	150	462	69	1821	21	5	1662	856	435	3883	630	170	4367	1691	414	2580	95	69	113	41	24	2228	4845	404	3975	312	197	1581	198	402	2518	2724	177	908	14	506	8	44	17	52	9553	7384	291	106	36	27	49	3783	7738	3861	933	104	81	1271	10551	9246	1484	565	415	2726	10926	9471	2683	2290	1339	3600	10759	7393	2899	1259	354	3067	8001	3818	515	59	32	1549	6830	5588
"Cluster_241"	1	0	2	1	3	0	47	4	1	0	0	0	21	32	11	8	6	0	0	1	11	10	11	0	2	1	7	44	15	2	12	0	3	54	64	0	36	2	2	19	9	2	6	45	3	15	36	1	0	0	3	22	1	4	35	9	2	0	0	0	36	24	3	31	41	0	0	0	4	0	0	1	32	11	7	17	1	1	22	19	0	0	1	0	0	1	0	71	7	13	6	7	24	1	6	8	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	32	6	8	0	0	0	1	21	8	0	0	0	1	25	8	0	0	0	8	1	0	0	0	0
"Cluster_297"	0	0	3	0	0	1	43	5	1	0	0	2	17	28	10	11	0	0	1	0	10	8	12	0	2	1	8	29	7	0	3	0	2	42	38	0	43	2	3	16	20	5	7	36	5	10	29	0	0	0	3	24	6	1	47	8	0	0	0	0	29	22	1	42	20	0	0	1	2	0	0	0	35	10	5	8	2	2	13	13	0	1	0	0	0	0	0	59	4	5	9	5	20	0	14	6	18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	5	0	0	0	0	14	9	6	0	0	0	2	24	4	0	0	0	1	16	6	0	0	0	8	2	1	0	0	0
"Cluster_251"	1	0	3	0	0	0	13	1	1	0	0	2	5	6	0	18	3	0	0	0	2	3	5	1	0	0	0	39	3	1	6	0	0	12	3	0	5	1	0	18	6	1	0	0	0	9	24	0	0	0	2	0	0	0	8	1	2	0	0	0	6	1	1	10	8	1	0	0	2	0	0	4	3	1	1	4	1	0	6	0	2	0	1	1	2	0	0	13	9	1	1	3	0	0	8	2	18	3	1	0	1	0	3	2	0	9	46	0	0	0	1	2	0	50	90	1	4	2	0	4	3	3	10	9	0	0	0	1	32	31	1	0	30	1	7	3	3	45	91	1	0	0	0	39	74
"Cluster_9"	9	37	20	256	334	5	43	239	3	8	0	61	10	768	18	92	281	11	101	174	87	49	859	9	76	978	5	64	187	180	58	314	1	3	572	10	14	339	61	529	1205	17	7	140	0	37	351	0	0	1	37	70	313	5	22	153	27	0	3	12	265	1681	13	290	595	11	17	35	57	8	68	3	6	24	54	260	772	3	298	655	9	463	781	4	20	30	9	49	178	2	58	100	20	104	218	86	139	1052	9	1	4	2	384	373	2	0	0	4	20	1	162	181	0	0	0	124	369	429	0	0	1	195	508	358	1	0	0	12	263	405	0	0	0	12	430	508	0	0	0	48	80	166	0	0	0
"Cluster_12"	702	79	9	463	817	6	47	241	723	201	42	32	2	10	163	202	823	39	408	855	26	12	148	5	27	96	33	138	568	59	399	1682	1	5	22	4	37	313	16	27	52	3	0	4	28	258	866	440	19	43	6	16	114	77	35	96	1321	42	55	1	8	26	4	263	382	1828	560	292	130	321	1359	494	49	157	25	69	157	9	207	102	40	105	217	1548	1974	2360	27	35	362	23	194	540	13	382	744	227	186	452	409	4	260	3	249	388	12	0	0	739	173	1	382	429	0	1	0	0	91	247	0	2	0	0	3	4	0	0	0	7	492	606	0	0	0	1	3	3	4	0	0	5	18	132	2	3	0
"Cluster_15"	0	0	7	287	498	1	38	181	0	1	0	4	1	34	10	68	244	14	217	469	23	33	271	2	39	208	8	47	483	81	157	534	1	1	12	5	57	269	2	27	48	4	0	4	3	31	184	1	0	0	27	30	157	4	11	67	0	0	1	0	8	68	0	35	50	0	0	2	3	95	485	25	46	195	11	98	295	0	18	34	12	141	262	25	184	534	8	18	195	6	90	288	4	172	358	3	13	99	1	0	0	2	328	315	0	0	0	0	4	0	150	215	0	0	0	0	69	131	0	0	0	2	24	26	0	0	0	0	12	56	0	0	0	0	1	4	0	0	0	4	23	132	0	0	0
"Cluster_81"	0	1	0	21	17	0	10	16	0	0	0	0	1	24	0	1	3	0	5	15	0	0	7	0	1	4	0	3	9	0	64	55	0	0	6	0	8	11	0	1	9	0	0	3	0	2	24	0	0	0	0	1	21	1	1	0	1	0	0	0	2	9	0	14	20	0	0	0	0	10	7	0	13	9	0	26	17	0	13	0	0	6	10	0	5	3	0	7	19	0	29	26	0	2	26	0	8	2	0	0	0	0	88	52	0	0	0	1	0	0	31	35	0	0	0	0	62	28	0	0	0	5	45	33	0	0	0	0	88	50	0	0	0	0	37	33	0	0	1	1	10	13	0	0	0
"Cluster_5"	42	27	132	2764	2891	5	642	1383	79	33	5	15	232	895	95	3259	2949	16	3571	3707	73	553	2527	18	468	1054	82	1988	2922	39	477	631	3	31	99	2	1384	3329	22	734	2432	90	12	50	5	118	784	41	6	16	93	704	1694	38	626	1142	263	5	22	1	93	222	3	894	958	236	364	640	55	1958	3132	34	592	592	130	1493	2186	9	804	216	40	2258	2634	1073	4731	5114	14	709	2505	297	1671	1842	375	2314	1822	95	2024	3792	36	2	64	7	56	28	44	65	257	117	434	59	1960	1492	23	91	119	1	9	20	12	0	3	22	37	16	0	0	1	4	124	168	23	0	3	2	10	9	184	65	70	12	16	14	26	3	1
"Cluster_173"	3	0	0	21	29	0	19	36	0	1	0	0	2	32	1	1	18	0	28	20	1	0	7	0	5	13	0	14	21	0	64	78	0	0	12	0	7	16	1	3	18	0	1	1	0	8	38	0	0	0	1	6	25	0	13	25	1	0	0	0	9	8	0	39	37	2	0	0	1	22	21	0	28	47	0	31	35	0	28	25	0	14	26	0	27	11	0	4	17	1	41	30	1	9	38	0	22	30	0	0	0	1	138	118	0	0	0	1	0	0	74	92	0	0	1	1	138	98	0	0	1	42	101	126	0	0	0	0	108	69	0	0	0	0	87	108	0	0	0	32	87	119	0	1	2
"Cluster_70"	0	0	0	4	4	0	16	20	0	0	0	0	0	7	0	1	6	0	9	13	0	0	3	0	0	0	0	1	12	0	19	23	0	1	7	0	1	13	0	1	12	0	0	0	0	0	8	0	0	0	0	1	1	0	10	19	0	0	0	0	0	0	0	23	24	0	0	0	0	4	15	0	17	24	0	3	1	0	13	9	0	6	9	0	7	5	0	0	4	0	8	13	0	7	31	0	4	20	0	0	0	0	93	113	0	0	0	0	0	0	56	83	0	0	0	1	126	110	0	0	0	9	70	115	0	0	0	0	6	11	0	0	0	0	54	69	0	0	0	14	80	117	0	0	0
"Cluster_204"	3	0	1	0	0	0	5	0	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	1	0	0	8	2	0	1	0	0	0	1	0	1	0	0	7	1	0	0	0	0	8	5	0	0	0	0	1	0	1	1	0	2	0	0	0	1	2	1	0	3	1	0	0	0	0	0	1	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	42	73	0	2	0	0	1	1	92	57	0	0	0	0	6	14	0	2	3	0	0	0	0	17	8	1	9	62	0	6	0	0	91	40	1	0	0	0	87	78
"Cluster_3"	517	32	27	494	553	9	571	862	599	210	4	28	159	471	7	130	223	1	316	434	19	66	284	14	188	403	8	421	628	30	3385	3602	10	42	224	3	289	579	11	249	408	8	10	65	8	582	1101	167	21	36	40	244	397	15	214	403	618	60	78	5	155	320	5	869	809	465	444	56	42	646	523	17	466	481	25	565	670	5	713	262	2	504	669	33	1093	920	16	198	591	16	796	774	8	674	796	34	955	1204	319	15	347	68	4670	4192	2	1280	2704	658	218	23	3635	3424	2	3020	6472	17	3930	5201	21	302	597	834	4876	4650	0	11	38	9	2893	4284	51	182	2065	6	2153	2458	9	2779	6443	839	2585	4901	2	4019	4965
"Cluster_74"	1	1	0	103	96	0	26	53	0	0	0	0	2	65	1	22	54	0	108	99	0	3	44	1	10	25	0	64	66	1	93	129	1	0	9	0	32	70	0	7	32	0	1	3	0	7	73	0	0	0	0	7	55	0	6	7	5	0	0	1	4	14	0	27	38	5	2	1	0	39	68	0	14	25	0	68	92	0	19	4	0	45	81	7	38	53	0	24	102	0	65	64	1	11	43	1	44	27	1	0	0	0	108	89	0	0	0	2	0	0	61	66	0	0	0	1	52	45	0	0	0	6	81	39	0	0	0	0	122	97	0	0	0	0	20	30	0	0	0	1	12	36	0	0	0
"Cluster_38"	0	0	1	70	56	0	111	114	0	1	0	0	5	85	2	16	82	0	112	60	4	5	72	0	22	19	0	46	54	0	39	36	0	16	114	1	86	69	1	1	79	4	1	12	0	3	28	0	0	0	0	12	66	0	62	61	0	0	0	0	7	28	0	111	76	0	0	1	1	57	74	0	193	144	0	35	28	0	76	48	0	76	82	0	17	3	0	17	32	5	91	91	14	24	103	1	39	16	0	0	0	1	68	67	0	0	0	0	1	0	28	52	0	0	0	1	90	45	0	0	0	52	48	35	0	0	0	0	14	14	0	0	0	0	84	84	0	0	0	16	37	34	0	0	0
"Cluster_182"	0	0	0	20	27	0	14	18	0	0	0	0	0	20	0	12	44	0	39	38	0	2	18	0	7	9	0	10	27	0	11	12	0	3	15	0	25	30	0	1	23	0	0	4	0	1	5	0	0	0	0	5	12	1	12	13	0	0	0	0	7	3	0	16	6	0	0	0	1	19	19	0	47	41	0	5	6	0	10	13	0	16	19	1	12	10	0	6	12	2	38	34	1	12	31	0	9	8	0	0	0	0	23	44	0	0	0	0	0	0	16	28	0	0	0	0	26	26	0	0	0	11	15	16	0	0	0	0	3	2	0	0	0	0	18	8	0	0	0	5	20	36	0	0	0
