"A1-T0-C_S3_L001"	"A1-T0-J_S1_L001"	"A1-T17-C_S87_L001"	"A1-T17-I_S86_L001"	"A1-T17-J_S85_L001"	"A1-T9-C_S24_L001"	"A1-T9-I_S23_L001"	"A1-T9-J_S22_L001"	"A2-T0-C_S6_L001"	"A2-T0-I_S5_L001"	"A2-T0-J_S4_L001"	"A2-T17-C_S90_L001"	"A2-T17-I_S89_L001"	"A2-T17-J_S88_L001"	"A2-T9-C_S27_L001"	"A2-T9-I_S26_L001"	"A2-T9-J_S25_L001"	"A3-T17-C_S93_L001"	"A3-T17-I_S92_L001"	"A3-T17-J_S91_L001"	"A3-T9-C_S30_L001"	"A3-T9-I_S29_L001"	"A3-T9-J_S28_L001"	"A4-T17-C_S96_L001"	"A4-T17-I_S95_L001"	"A4-T17-J_S94_L001"	"A4-T9-C_S33_L001"	"A4-T9-I_S32_L001"	"A4-T9-J_S31_L001"	"A5-T17-C_S99_L001"	"A5-T17-I_S98_L001"	"A5-T17-J_S97_L001"	"A5-T9-C_S36_L001"	"A5-T9-I_S35_L001"	"A5-T9-J_S34_L001"	"A6-T17-C_S102_L001"	"A6-T17-I_S101_L001"	"A6-T17-J_S100_L001"	"A6-T9-C_S39_L001"	"A6-T9-I_S38_L001"	"A6-T9-J_S37_L001"	"A7-T17-C_S105_L001"	"A7-T17-I_S104_L001"	"A7-T17-J_S103_L001"	"A7-T9-C_S42_L001"	"A7-T9-I_S41_L001"	"A7-T9-J_S40_L001"	"B1-T0-C_S9_L001"	"B1-T0-I_S8_L001"	"B1-T0-J_S7_L001"	"B1-T17-C_S108_L001"	"B1-T17-I_S107_L001"	"B1-T17-J_S106_L001"	"B1-T9-C_S45_L001"	"B1-T9-I_S44_L001"	"B1-T9-J_S43_L001"	"B2-T0-C_S12_L001"	"B2-T0-I_S11_L001"	"B2-T0-J_S10_L001"	"B2-T17-C_S111_L001"	"B2-T17-I_S110_L001"	"B2-T17-J_S109_L001"	"B2-T9-C_S48_L001"	"B2-T9-I_S47_L001"	"B2-T9-J_S46_L001"	"B3-T0-C_S15_L001"	"B3-T0-I_S14_L001"	"B3-T0-J_S13_L001"	"B3-T17-C_S114_L001"	"B3-T17-I_S113_L001"	"B3-T17-J_S112_L001"	"B3-T9-C_S51_L001"	"B3-T9-I_S50_L001"	"B3-T9-J_S49_L001"	"B4-T17-C_S117_L001"	"B4-T17-I_S116_L001"	"B4-T17-J_S115_L001"	"B4-T9-C_S54_L001"	"B4-T9-I_S53_L001"	"B4-T9-J_S52_L001"	"B5-T17-C_S120_L001"	"B5-T17-I_S119_L001"	"B5-T17-J_S118_L001"	"B5-T9-C_S57_L001"	"B5-T9-I_S56_L001"	"B5-T9-J_S55_L001"	"B6-T17-C_S123_L001"	"B6-T17-I_S122_L001"	"B6-T17-J_S121_L001"	"B6-T9-C_S60_L001"	"B6-T9-I_S59_L001"	"B6-T9-J_S58_L001"	"B7-T17-C_S126_L001"	"B7-T17-I_S125_L001"	"B7-T17-J_S124_L001"	"B7-T9-C_S63_L001"	"B7-T9-I_S62_L001"	"B7-T9-J_S61_L001"	"C1-T0-C_S18_L001"	"C1-T0-I_S17_L001"	"C1-T0-J_S16_L001"	"C1-T17-C_S129_L001"	"C1-T17-I_S128_L001"	"C1-T17-J_S127_L001"	"C1-T9-C_S66_L001"	"C1-T9-I_S65_L001"	"C1-T9-J_S64_L001"	"C2-T0-C_S21_L001"	"C2-T0-J_S19_L001"	"C2-T17-C_S132_L001"	"C2-T17-I_S131_L001"	"C2-T17-J_S130_L001"	"C2-T9-C_S69_L001"	"C2-T9-I_S68_L001"	"C2-T9-J_S67_L001"	"C3-T17-C_S135_L001"	"C3-T17-I_S134_L001"	"C3-T17-J_S133_L001"	"C3-T9-C_S72_L001"	"C3-T9-I_S71_L001"	"C3-T9-J_S70_L001"	"C4-T17-C_S138_L001"	"C4-T17-I_S137_L001"	"C4-T17-J_S136_L001"	"C4-T9-C_S75_L001"	"C4-T9-I_S74_L001"	"C4-T9-J_S73_L001"	"C5-T17-C_S141_L001"	"C5-T17-I_S140_L001"	"C5-T17-J_S139_L001"	"C5-T9-C_S78_L001"	"C5-T9-I_S77_L001"	"C5-T9-J_S76_L001"	"C6-T17-C_S144_L001"	"C6-T17-I_S143_L001"	"C6-T17-J_S142_L001"	"C6-T9-C_S81_L001"	"C6-T9-I_S80_L001"	"C6-T9-J_S79_L001"	"C7-T17-C_S147_L001"	"C7-T17-I_S146_L001"	"C7-T17-J_S145_L001"	"C7-T9-C_S84_L001"	"C7-T9-I_S83_L001"	"C7-T9-J_S82_L001"
"Cluster_145"	1	0	0	7	11	0	19	48	0	0	0	0	0	14	0	3	32	0	17	16	1	1	10	0	1	7	0	5	10	0	12	4	0	4	28	0	25	19	0	3	35	0	0	0	0	1	5	0	0	0	0	2	21	0	7	8	0	0	0	0	0	9	0	25	33	0	1	0	0	12	13	0	22	31	0	9	12	0	27	16	0	19	22	1	9	5	0	5	8	0	20	19	2	6	25	0	8	9	0	0	0	0	17	20	0	0	0	0	0	0	12	19	0	0	0	0	28	23	0	0	0	11	34	24	0	0	0	0	2	4	0	0	0	0	17	28	0	0	0	5	10	19	0	0	0
"Cluster_6"	1	36	114	714	839	75	1400	1549	1	4	0	25	161	681	858	1709	2504	63	1475	1444	769	688	1173	25	473	426	1036	843	1288	119	697	446	133	975	1753	9	1373	1290	538	361	1422	340	22	49	135	175	376	0	4	2	78	421	445	350	4356	4633	7	4	75	10	274	339	177	1265	1125	3	8	81	730	1348	1580	291	3020	3327	34	362	287	115	1461	4026	22	1446	1079	321	684	563	14	330	429	1358	1470	1809	2725	1795	2319	712	748	1158	2	0	186	9	1245	1829	288	0	0	1	64	246	1122	1579	0	1	0	798	2117	1828	0	0	0	1603	1032	1811	0	0	0	19	157	232	0	0	0	67	1761	1860	0	7	0	3671	3589	2373	1	0	0
"Cluster_4"	1	29	76	473	507	63	1948	2412	1	6	1	29	157	447	521	1095	1645	60	972	919	415	446	866	31	362	309	555	463	777	61	564	288	102	1570	2893	11	901	797	328	374	1949	227	10	42	76	157	372	0	0	0	41	304	353	193	2623	2900	5	1	32	3	271	286	128	1965	1828	2	10	33	507	918	990	205	2015	2011	29	258	209	78	2078	3736	15	1115	769	183	443	313	9	239	260	786	846	1085	1841	1285	1462	393	1062	1201	2	0	216	10	863	1247	180	1	2	2	28	163	748	997	0	5	0	560	1562	1206	0	0	1	2200	1379	2151	0	0	0	17	118	182	0	0	0	90	2608	2999	0	3	0	2473	2459	1581	0	0	0
"Cluster_82"	1	1	0	25	23	0	29	42	0	0	0	0	4	22	3	5	30	0	37	31	1	2	15	0	17	13	1	13	17	0	11	7	0	7	43	0	32	22	0	1	27	0	0	2	0	1	14	1	0	0	0	12	20	0	17	20	1	0	1	0	5	13	0	35	24	1	0	1	0	16	20	1	72	57	0	11	12	0	33	23	0	24	33	2	5	4	0	6	15	4	30	39	12	7	38	1	9	16	0	0	1	0	22	27	0	0	0	0	0	0	8	25	0	0	0	0	20	8	0	0	0	25	14	16	0	0	0	0	7	7	0	0	0	0	33	41	0	0	0	9	13	10	0	0	0
"Cluster_16"	0	197	33	179	21	0	273	1	0	1	0	4	343	0	18	100	3	14	45	1	2	428	0	26	1066	4	15	583	41	29	129	1	1	475	0	3	71	18	2	348	1	1	115	3	5	154	2	1	11	142	82	712	60	3	120	31	1	1	3	22	555	4	127	140	0	1	137	13	3	130	1	47	254	0	3	39	1	1	153	1	2	49	1	3	94	1	2	146	5	2	72	10	56	370	1	4	103	1	0	199	1108	0	34	0	0	0	0	2	12	3	14	1	0	1	0	2	74	0	0	0	0	1	4	2	0	0	0	18	92	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0
"Cluster_1"	249	63	434	4766	3907	29	2650	3027	169	170	58	48	2522	5933	123	1112	1807	36	3317	2476	286	1322	2740	147	7041	6960	39	2469	2382	402	3943	2977	8	544	2047	17	3685	3592	34	744	1763	133	3245	7155	83	1973	3228	188	19	40	384	4396	6685	19	613	810	465	18	86	25	4080	4529	24	2576	2419	376	160	231	70	3004	2390	69	3029	3011	568	6833	5696	27	2728	885	59	4538	4006	243	1153	853	147	4017	4637	354	4834	3879	271	2283	2206	140	2092	1419	106	16	272	16	2355	1786	110	1	2	329	163	18	1529	1707	0	7	1	86	1920	1182	1	0	4	1693	2043	1014	1	0	1	82	3995	3199	3	0	1	75	1867	1861	0	1	0	354	629	1100	2	2	0
"Cluster_115"	0	103	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	14	0	0	0	0	0	0	0	0	388	0	1	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Cluster_7"	19	2725	7	0	0	59	110	233	25	4958	7241	235	53	263	10	1	1	37	0	1	501	1349	461	52	81	79	13	24	3	76	8	5	25	122	280	36	43	17	7	15	18	89	193	1129	195	130	432	9	18	5967	45	12	14	0	3	14	14	186	7656	128	880	2024	1395	81	161	2	1771	6257	30	6	1	17	77	90	17	9	11	134	142	289	17	3	2	0	0	0	24	25	36	47	4	5	189	3	20	1843	669	138	4	3	5297	0	0	32	0	1	0	5	5331	0	0	7	0	0	1	23	7	20	0	0	0	0	0	0	70	0	0	3	2	101	1	0	3	145	218	327	0	0	0	0	0	4	0	0	0
"Cluster_106"	46	3	82	0	0	93	0	0	124	1	0	105	0	0	28	0	0	38	0	0	39	0	0	124	0	0	9	0	0	113	0	0	15	0	0	87	0	0	41	0	0	38	0	0	3	0	0	64	1	0	34	0	0	35	0	0	56	0	0	73	0	0	27	0	0	67	7	0	92	0	0	48	0	0	32	0	0	14	0	0	128	0	0	40	0	0	27	0	0	10	0	0	43	0	0	17	0	0	97	0	2	0	0	0	16	1	0	89	0	0	0	0	2	0	0	68	0	0	58	0	0	3	0	0	17	0	0	50	0	0	21	0	0	77	0	0	6	0	0	87	0	0	7	0	0
"Cluster_64"	60	38	23	0	0	41	0	0	185	0	1	17	0	0	73	0	0	37	0	0	135	0	0	18	0	0	87	0	0	46	0	0	200	0	1	29	0	0	37	0	0	92	0	0	8	0	0	208	2	0	69	0	0	52	0	0	60	0	6	32	1	0	45	0	0	46	15	0	115	0	0	223	0	0	65	0	0	12	0	0	115	0	0	292	1	0	33	0	0	34	0	0	12	0	0	67	0	0	174	7	0	0	0	0	0	0	0	129	0	14	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	63	0	0	0	0	0	98	0	0	0	0	0	127	0	0	0	0	0
"Cluster_112"	11	0	139	0	0	4	0	0	17	1	1	4	0	0	42	0	0	16	0	0	69	0	0	0	0	0	101	1	0	15	0	0	44	0	0	2	0	0	1	1	0	68	0	0	14	0	0	9	3	0	6	0	0	9	0	0	19	0	5	30	0	0	29	0	0	17	14	0	34	0	0	50	0	0	6	0	0	3	0	0	37	0	0	23	0	0	16	0	0	19	0	0	54	0	0	26	0	0	34	2	4	0	0	0	1	0	0	40	0	1	0	0	147	0	0	260	0	0	11	0	0	0	0	0	3	0	0	129	0	0	34	0	0	560	2	0	17	0	0	124	0	0	3	0	0
"Cluster_67"	22	1	29	0	0	54	0	0	8	0	0	17	0	0	114	0	0	16	0	0	20	1	0	63	0	0	80	0	0	72	1	0	26	0	0	86	0	0	74	0	0	27	0	0	17	0	0	25	0	0	55	0	0	17	0	0	23	0	0	29	0	0	43	0	0	16	0	0	52	0	0	55	0	0	24	0	0	48	0	0	8	0	0	62	0	0	18	0	0	13	0	0	21	0	0	16	0	0	13	1	0	0	0	0	63	0	0	33	0	23	0	0	18	0	0	182	0	0	257	0	0	1	0	0	34	0	0	253	0	0	206	0	0	59	0	0	29	0	0	57	0	0	60	0	0
"Cluster_109"	68	0	33	0	0	1	0	0	53	0	0	77	0	0	58	0	0	12	0	0	93	0	0	93	0	0	67	0	0	12	0	0	95	0	0	0	0	0	98	0	0	81	0	0	89	0	0	40	0	0	21	0	0	6	0	0	47	0	1	120	0	0	10	0	0	56	31	0	107	0	0	22	0	0	8	0	0	68	0	0	14	0	0	178	0	0	17	0	0	12	0	0	25	0	0	36	0	0	104	2	0	0	0	1	0	0	0	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster_136"	50	0	53	0	0	223	0	0	39	0	0	62	0	0	48	1	0	19	0	0	37	0	0	16	0	0	53	0	0	20	0	0	54	0	0	88	0	0	280	0	0	71	0	0	24	0	0	60	0	0	67	0	0	108	0	1	43	0	1	51	0	0	43	0	0	71	4	1	55	0	0	143	0	0	129	0	0	56	0	0	71	0	0	71	0	0	70	0	0	103	0	0	7	0	0	48	0	0	51	1	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster_97"	1	0	55	0	0	1	0	0	1	0	0	1	0	0	5	0	0	0	0	0	5	0	0	0	0	0	4	0	0	1	0	0	3	0	0	13	0	0	0	0	0	2	0	0	0	0	0	15	0	0	1	0	0	3	0	0	5	0	0	3	0	0	12	0	0	8	0	1	2	0	0	9	0	0	1	0	0	14	0	0	1	0	0	0	0	0	6	0	0	2	0	0	1	0	0	0	0	0	7	0	0	0	0	0	887	0	0	0	0	26	0	0	15	0	0	6	0	0	3	0	0	3	0	0	262	0	0	60	0	0	2	0	0	7	0	0	4	0	0	0	0	0	18	0	0
"Cluster_34"	28	0	3	0	0	16	0	0	67	0	0	90	0	0	9	0	0	1052	0	0	4	0	1	1	0	0	4	0	0	20	0	0	6	0	0	208	0	0	3	0	0	8	0	0	5	0	0	49	2	0	2	0	0	7	0	0	39	0	0	5	0	0	13	0	0	39	16	12	10	0	1	26	0	0	2	0	0	7	0	0	170	0	0	14	0	0	33	0	0	10	0	0	12	0	0	33	0	0	52	0	0	3857	23	0	216	0	0	59	89	0	0	0	1	0	0	5	0	0	0	0	0	40	0	0	0	0	0	45	0	0	16	0	0	3	0	0	0	0	0	0	0	0	3	0	0
"Cluster_108"	9	0	639	0	0	5	0	0	21	0	0	59	0	0	5	0	0	56	0	0	3	0	0	137	0	0	9	0	0	84	0	0	11	0	0	193	0	1	14	0	0	10	0	0	8	0	0	2	0	0	3	0	0	4	0	1	1	0	3	31	0	0	8	0	0	4	0	0	91	0	0	17	0	0	2	0	0	9	0	0	271	0	0	15	0	0	68	0	0	10	0	0	304	0	0	32	0	0	21	0	0	0	0	0	31	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster_48"	3	0	2	0	0	0	0	0	0	0	0	12	0	0	2	13	0	11	2	0	38	556	0	3	1	0	0	0	2	5	0	0	1	67	2	0	0	0	27	1131	0	0	1	0	12	0	0	0	0	0	0	0	0	15	0	1	0	0	3	0	0	0	1	0	0	0	0	0	17	0	0	66	0	0	4	2	0	17	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	53	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	34	23	0	0	0	0	0	0	0	0	0	0
"Cluster_49"	1	797	0	0	0	1	0	1	1	204	96	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	1	10	480	0	0	0	0	0	0	0	15	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	0	0	0	0	0	0	0	974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster_24"	4	1554	0	0	0	0	0	1	3	2528	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	20	2630	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Cluster_8"	3	0	0	83	0	10	29	4	2	186	2	0	271	0	1	397	1	0	173	2	1	282	0	17	581	0	0	60	0	1	265	0	0	70	0	1	77	1	1	227	2	3	1469	0	0	292	0	7	10767	0	1	203	1	2	331	1	3	9642	4	2	643	3	3	507	0	4	4716	5	3	21	4	0	3	1	6	173	2	2	437	0	2	21	2	2	281	0	0	122	0	0	121	0	0	600	1	0	28	0	4	10558	4	0	72	0	0	0	0	6	2	1	73	3	0	0	0	2	160	0	0	0	0	0	1	1	0	0	0	0	56	0	0	1	0	4	200	0	0	0	0	6	278	0	0	0	0
"Cluster_32"	0	0	0	0	0	0	162	0	0	6	0	0	0	0	0	5	0	0	0	0	0	12	0	0	0	0	0	13	0	1	25	0	1	22	2	0	0	0	0	6	1	0	1	0	0	172	0	0	1	0	0	28	0	0	326	0	0	38	0	0	0	0	0	16	0	0	585	0	0	386	1	0	10	0	0	0	0	0	16	0	0	49	0	1	194	0	2	22	1	0	99	0	0	355	0	0	6	0	0	0	3	1	68	0	0	0	0	0	0	0	908	0	0	0	0	0	27	0	0	0	0	1	11	0	0	0	0	0	1	0	0	0	0	0	56	0	0	0	0	0	39	0	0	0	0
"Cluster_43"	0	0	0	13	1	1	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	0	0	1	0	0	0	0	0	94	9	0	0	0	1	0	0	0	3	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1862	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	92	8	0	403	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0
"Cluster_61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2802	9	0	3	0	0	0	0	93	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster_142"	15	3	0	0	0	13	0	1	228	16	0	43	0	0	0	0	0	5	0	1	9	1	0	36	0	0	0	0	0	10	0	0	3	0	0	19	27	17	1	0	0	1106	0	0	27	0	1	20	2	194	0	0	0	0	0	0	0	5	0	0	0	0	4	0	0	3	10	2	0	0	0	7	0	0	6	0	0	3	0	0	0	0	0	0	0	1	36	0	0	2	0	0	2	0	0	10	0	0	21	16	17	0	0	0	0	0	0	2	2	4	0	0	0	0	0	155	0	8	0	0	0	0	0	0	0	0	0	45	0	5	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"Cluster_60"	0	0	0	0	0	14	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	10	0	0	3	0	0	4	0	0	2	0	0	34	0	0	9	0	0	8	0	0	39	0	0	0	0	0	11	0	0	5	0	0	0	0	0	3	0	0	14	0	0	0	0	0	7	0	0	0	0	0	8	0	0	6	0	0	0	0	0	23	0	0	57	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	21	0	0	93	0	0	14	0	0	64	0	0	4	0	0	243	0	0	3	0	1	32	0	0	17	0	0	497	0	1	0	0	0	401	0	0
"Cluster_40"	0	0	0	41	68	0	3	46	0	0	0	0	2	43	0	0	10	0	2	27	1	2	111	0	1	74	0	10	187	0	1	23	0	9	170	0	0	38	0	1	126	0	0	34	0	0	69	0	0	0	0	1	82	0	0	32	0	0	0	0	3	34	0	1	55	0	0	0	1	27	48	0	8	49	0	0	70	0	0	36	0	6	43	0	1	31	0	0	221	0	4	22	0	0	59	0	6	41	0	0	0	0	11	60	0	10	58	0	0	0	4	113	0	1	83	0	3	114	0	17	115	0	22	30	0	12	134	0	2	26	0	3	157	0	2	28	0	2	37	0	1	37	0	4	49
"Cluster_126"	37	1	147	0	0	20	0	0	34	0	0	22	0	0	14	0	0	38	0	0	5	0	0	3	0	0	2	0	0	62	1	0	1	0	0	56	0	0	4	0	0	6	0	0	2	0	0	3	0	0	7	0	0	8	0	0	30	0	1	1	0	0	2	0	0	28	0	0	60	0	0	18	0	0	36	0	0	4	0	0	130	0	0	16	0	0	44	0	0	1	0	0	21	0	0	18	0	0	44	0	0	29	1	0	154	0	0	31	0	42	0	0	91	0	0	50	0	0	162	0	0	53	0	0	164	0	0	118	0	0	225	0	1	93	0	0	134	0	0	3	0	0	78	1	0
"Cluster_95"	33	1	11	0	0	110	0	0	0	0	0	7	0	0	0	0	0	16	0	0	0	0	0	122	0	0	3	0	0	87	0	0	3	0	0	586	0	0	27	0	0	6	0	0	0	0	0	0	0	0	0	0	0	7	0	0	28	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	621	0	0	2	0	0	4	0	0	0	0	0	9	0	0	0	0	0	2	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster_10"	45	1	19	0	1	385	1	0	179	5	0	693	0	0	240	0	0	657	1	0	297	3	0	419	0	1	159	0	0	369	0	0	208	0	0	392	0	1	79	0	0	265	0	0	221	0	0	854	2	0	558	0	0	684	0	0	293	5	20	418	0	1	229	1	0	141	79	0	392	0	0	839	0	1	51	0	0	284	0	0	826	1	0	174	0	2	380	0	0	171	0	0	192	0	0	243	0	1	271	8	3	165	0	0	2467	0	1	190	0	2553	1	0	612	0	0	406	1	9	1342	2	1	14	0	0	1278	0	1	895	0	0	456	0	0	111	0	3	606	0	0	66	0	0	526	0	0
"Cluster_68"	33	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	9	0	0	0	1	0	0	0	0	672	0	0	180	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	214	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	17	0	0	0	0	0	2	0	0	236	0	0	277	0	0	1	0	0	164	0	0	0	0	0
"Cluster_13"	12	9	2	1	0	2	20	18	3	1435	16	220	1	7	8	0	8	919	0	0	10	113	82	50	0	3	11	6	7	387	0	0	2	3	7	108	1	1	0	3	0	1	1	15	12	5	41	3	7	898	0	0	0	5	0	2	0	154	706	6	16	15	21	2	2	0	65	103	1	6	0	5	2	4	0	1	0	25	3	57	484	0	0	3	0	1	49	41	7	4	2	4	25	0	1	94	21	8	1	12	569	644	5	4	58	4	266	0	74	290	1	0	5	3	54	27	0	5	42	11	520	604	0	1	368	27	876	5	0	1	120	42	807	0	3	24	62	18	331	12	970	1	23	1	34
"Cluster_65"	0	1658	0	0	0	0	0	9	0	1	1286	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	6	0	0	1	0	0	16	0	0	0	0	0	19	0	0	87	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	339	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	73	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
"Cluster_148"	0	155	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	724	3	0	1	0	0	0	216	585	0	0	0	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster_317"	41	6	100	0	0	18	0	0	76	2	0	54	0	0	8	0	0	44	0	0	37	0	0	44	0	0	23	0	0	62	0	0	30	0	0	30	0	0	30	0	0	41	0	0	6	0	0	24	2	1	3	0	0	22	0	0	56	1	11	55	0	0	50	0	0	60	25	0	31	0	0	41	0	0	24	0	0	13	0	0	72	0	0	10	0	0	17	0	0	14	0	0	47	0	0	25	0	0	47	1	0	0	0	0	9	0	0	62	0	45	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	6	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0
"Cluster_18"	1	1520	0	8	2	1	4	1	2	393	864	0	8	19	0	0	3	0	3	7	1	33	6	1	19	14	1	2	13	0	1	2	1	41	64	0	5	9	1	63	26	0	10	7	0	0	22	1	6	381	0	1	5	0	19	18	0	336	633	1	16	41	0	2	5	0	42	1313	0	2	2	1	58	43	0	6	14	1	0	9	1	1	2	1	0	2	0	0	14	0	4	0	0	0	8	0	4	0	0	1	955	0	2	10	0	1	4	0	1415	0	0	6	0	0	0	0	15	8	0	0	37	0	0	3	0	2	14	0	1	5	0	4	22	0	4	8	1	0	5	0	0	3	1	8	11
"Cluster_119"	0	246	0	6	0	0	9	11	0	20	48	0	1	5	0	0	0	0	1	18	0	3	1	0	13	6	0	1	7	0	0	2	0	10	13	0	1	5	0	11	10	0	0	7	0	0	47	0	1	18	0	0	1	0	3	2	0	15	35	0	12	23	1	0	2	0	0	157	0	0	2	0	24	29	0	0	12	0	0	1	0	0	2	0	0	3	0	1	6	0	2	0	0	0	2	0	2	2	0	0	210	0	0	4	0	0	4	0	39	0	0	0	0	0	2	0	2	3	0	0	35	0	0	1	0	1	27	0	1	5	0	4	11	0	0	2	1	0	5	0	0	1	0	6	9
